minutes,taxi_count,sum
"['00.00.00', '00.01.00', '00.02.00', '00.03.00']","[30, 31, 28, 29]",4
"['00.22.00', '00.23.00']","[17, 22]",2
"['00.25.00', '00.26.00', '00.27.00']","[17, 20, 16]",3
"['00.43.00', '00.44.00']","[24, 24]",2
"['00.58.00', '00.59.00']","[27, 18]",2
"['01.27.00', '01.28.00']","[26, 26]",2
"['01.31.00', '01.32.00']","[24, 25]",2
"['01.59.00', '02.00.00']","[15, 23]",2
"['02.03.00', '02.04.00', '02.05.00', '02.06.00', '02.07.00', '02.08.00']","[24, 21, 22, 25, 19, 22]",6
"['02.10.00', '02.11.00', '02.12.00']","[22, 22, 21]",3
"['02.14.00', '02.15.00', '02.16.00', '02.17.00']","[25, 27, 26, 26]",4
"['02.24.00', '02.25.00']","[25, 24]",2
"['02.45.00', '02.46.00', '02.47.00']","[33, 39, 36]",3
"['02.51.00', '02.52.00', '02.53.00', '02.54.00', '02.55.00', '02.56.00', '02.57.00', '02.58.00', '02.59.00', '03.00.00', '03.01.00', '03.02.00', '03.03.00']","[27, 21, 22, 30, 24, 20, 24, 28, 34, 33, 30, 29, 21]",13
"['03.06.00', '03.07.00', '03.08.00']","[26, 27, 29]",3
"['03.45.00', '03.46.00']","[22, 18]",2
"['04.10.00', '04.11.00', '04.12.00', '04.13.00', '04.14.00', '04.15.00', '04.16.00', '04.17.00', '04.18.00', '04.19.00', '04.20.00', '04.21.00', '04.22.00', '04.23.00']","[29, 34, 34, 36, 40, 44, 33, 43, 24, 29, 27, 47, 46, 26]",14
"['04.25.00', '04.26.00', '04.27.00', '04.28.00', '04.29.00', '04.30.00']","[29, 40, 48, 36, 39, 31]",6
"['04.32.00', '04.33.00']","[37, 35]",2
"['04.39.00', '04.40.00', '04.41.00']","[32, 32, 26]",3
"['04.43.00', '04.44.00']","[31, 28]",2
"['04.46.00', '04.47.00']","[28, 24]",2
"['05.18.00', '05.19.00']","[25, 26]",2
"['05.27.00', '05.28.00', '05.29.00', '05.30.00']","[23, 25, 24, 22]",4
"['05.39.00', '05.40.00', '05.41.00', '05.42.00', '05.43.00']","[24, 21, 23, 28, 27]",5
"['06.26.00', '06.27.00']","[21, 28]",2
"['06.29.00', '06.30.00', '06.31.00', '06.32.00', '06.33.00', '06.34.00']","[26, 22, 26, 28, 29, 29]",6
"['06.38.00', '06.39.00']","[24, 26]",2
"['06.41.00', '06.42.00', '06.43.00', '06.44.00']","[37, 38, 42, 41]",4
"['06.48.00', '06.49.00']","[34, 35]",2
"['06.51.00', '06.52.00', '06.53.00']","[37, 26, 33]",3
"['06.56.00', '06.57.00']","[26, 32]",2
"['07.01.00', '07.02.00', '07.03.00', '07.04.00', '07.05.00', '07.06.00']","[31, 32, 31, 29, 31, 27]",6
