minutes,taxi_count,sum
"['00.24.00', '00.25.00', '00.26.00']","[16, 23, 25]",3
"['00.28.00', '00.29.00']","[32, 22]",2
"['00.34.00', '00.35.00', '00.36.00']","[36, 21, 18]",3
"['01.09.00', '01.10.00']","[19, 17]",2
"['01.18.00', '01.19.00', '01.20.00']","[24, 21, 29]",3
"['01.51.00', '01.52.00']","[23, 18]",2
"['02.34.00', '02.35.00']","[18, 14]",2
"['02.45.00', '02.46.00']","[22, 26]",2
"['02.53.00', '02.54.00']","[19, 16]",2
"['03.00.00', '03.01.00']","[18, 18]",2
"['03.07.00', '03.08.00']","[23, 24]",2
"['03.12.00', '03.13.00', '03.14.00']","[14, 25, 20]",3
"['05.29.00', '05.30.00']","[27, 25]",2
"['06.15.00', '06.16.00']","[25, 24]",2
"['06.26.00', '06.27.00']","[26, 24]",2
"['06.44.00', '06.45.00']","[23, 19]",2
"['06.47.00', '06.48.00']","[16, 17]",2
"['06.54.00', '06.55.00', '06.56.00']","[27, 22, 20]",3
"['07.59.00', '08.00.00']","[28, 28]",2
"['08.40.00', '08.41.00', '08.42.00']","[17, 22, 19]",3
"['11.09.00', '11.10.00']","[27, 15]",2
"['11.23.00', '11.24.00', '11.25.00', '11.26.00']","[29, 20, 34, 23]",4
"['11.34.00', '11.35.00']","[23, 23]",2
"['11.39.00', '11.40.00']","[23, 34]",2
"['11.45.00', '11.46.00', '11.47.00', '11.48.00', '11.49.00']","[22, 17, 21, 25, 27]",5
"['11.53.00', '11.54.00']","[27, 24]",2
"['12.11.00', '12.12.00']","[26, 21]",2
"['12.29.00', '12.30.00', '12.31.00', '12.32.00', '12.33.00', '12.34.00']","[18, 15, 22, 22, 30, 26]",6
"['12.47.00', '12.48.00']","[19, 24]",2
"['12.59.00', '13.00.00']","[29, 21]",2
"['13.08.00', '13.09.00']","[27, 26]",2
"['15.49.00', '15.50.00']","[17, 21]",2
"['19.45.00', '19.46.00']","[21, 21]",2
"['19.49.00', '19.50.00', '19.51.00']","[20, 17, 21]",3
"['20.26.00', '20.27.00', '20.28.00']","[22, 26, 26]",3
"['21.19.00', '21.20.00', '21.21.00']","[16, 15, 33]",3
"['21.31.00', '21.32.00', '21.33.00', '21.34.00']","[23, 24, 22, 20]",4
"['21.44.00', '21.45.00', '21.46.00']","[23, 20, 20]",3
"['21.48.00', '21.49.00']","[19, 17]",2
"['22.20.00', '22.21.00']","[32, 30]",2
"['22.26.00', '22.27.00', '22.28.00']","[24, 37, 22]",3
"['23.24.00', '23.25.00']","[18, 15]",2
"['23.30.00', '23.31.00']","[16, 17]",2
