minutes,taxi_count,sum
"['00.02.00', '00.03.00', '00.04.00']","[25, 23, 19]",3
"['00.15.00', '00.16.00']","[23, 27]",2
"['00.21.00', '00.22.00']","[21, 25]",2
"['00.37.00', '00.38.00', '00.39.00']","[29, 21, 26]",3
"['00.41.00', '00.42.00', '00.43.00', '00.44.00', '00.45.00']","[21, 27, 31, 25, 28]",5
"['00.47.00', '00.48.00', '00.49.00', '00.50.00', '00.51.00']","[21, 24, 26, 20, 26]",5
"['01.09.00', '01.10.00', '01.11.00', '01.12.00', '01.13.00', '01.14.00', '01.15.00']","[23, 18, 29, 24, 22, 23, 24]",7
"['01.20.00', '01.21.00', '01.22.00', '01.23.00']","[25, 27, 30, 27]",4
"['01.25.00', '01.26.00', '01.27.00']","[35, 28, 22]",3
"['01.30.00', '01.31.00', '01.32.00', '01.33.00', '01.34.00', '01.35.00', '01.36.00', '01.37.00', '01.38.00', '01.39.00', '01.40.00']","[29, 37, 42, 36, 33, 35, 38, 27, 38, 44, 44]",11
"['01.42.00', '01.43.00', '01.44.00', '01.45.00', '01.46.00', '01.47.00', '01.48.00', '01.49.00', '01.50.00']","[26, 27, 30, 25, 28, 30, 31, 26, 25]",9
"['01.55.00', '01.56.00', '01.57.00', '01.58.00', '01.59.00', '02.00.00', '02.01.00', '02.02.00']","[25, 26, 40, 37, 36, 40, 33, 38]",8
"['02.08.00', '02.09.00', '02.10.00', '02.11.00', '02.12.00', '02.13.00']","[24, 29, 33, 33, 30, 32]",6
"['02.17.00', '02.18.00', '02.19.00', '02.20.00', '02.21.00']","[26, 22, 23, 26, 18]",5
"['03.16.00', '03.17.00', '03.18.00']","[27, 26, 21]",3
"['03.20.00', '03.21.00', '03.22.00']","[25, 22, 22]",3
"['03.36.00', '03.37.00']","[27, 26]",2
"['03.44.00', '03.45.00', '03.46.00']","[28, 26, 26]",3
"['03.51.00', '03.52.00', '03.53.00', '03.54.00']","[25, 27, 28, 28]",4
"['04.45.00', '04.46.00', '04.47.00']","[26, 24, 24]",3
"['04.50.00', '04.51.00', '04.52.00']","[26, 30, 31]",3
"['05.09.00', '05.10.00', '05.11.00', '05.12.00', '05.13.00']","[19, 24, 20, 23, 17]",5
"['05.19.00', '05.20.00', '05.21.00', '05.22.00', '05.23.00']","[29, 24, 20, 26, 29]",5
"['05.34.00', '05.35.00']","[24, 26]",2
