date,day_of_week,day_type,hour,minutes,taxi_count,sum
2024-01-03,Wednesday,weekend,00,"['00.12.00', '00.13.00', '00.14.00']","[22, 24, 20]",3
2024-01-03,Wednesday,weekend,00,"['00.20.00', '00.21.00']","[20, 18]",2
2024-01-03,Wednesday,weekend,02,"['02.34.00', '02.35.00']","[32, 32]",2
2024-01-03,Wednesday,weekend,02,"['02.37.00', '02.38.00', '02.39.00', '02.40.00', '02.41.00', '02.42.00', '02.43.00', '02.44.00', '02.45.00', '02.46.00', '02.47.00', '02.48.00', '02.49.00', '02.50.00', '02.51.00', '02.52.00', '02.53.00']","[27, 30, 31, 24, 22, 33, 29, 28, 27, 26, 28, 28, 29, 34, 32, 32, 24]",17
2024-01-03,Wednesday,weekend,02,"['02.57.00', '02.58.00', '02.59.00', '03.00.00', '03.01.00', '03.02.00', '03.03.00', '03.04.00', '03.05.00', '03.06.00', '03.07.00', '03.08.00', '03.09.00', '03.10.00', '03.11.00', '03.12.00', '03.13.00']","[30, 30, 30, 34, 43, 42, 39, 38, 43, 31, 49, 51, 42, 43, 41, 40, 37]",17
2024-01-03,Wednesday,weekend,03,"['03.15.00', '03.16.00', '03.17.00', '03.18.00']","[34, 27, 21, 30]",4
2024-01-03,Wednesday,weekend,03,"['03.21.00', '03.22.00']","[29, 43]",2
2024-01-03,Wednesday,weekend,03,"['03.25.00', '03.26.00']","[32, 29]",2
2024-01-03,Wednesday,weekend,03,"['03.28.00', '03.29.00', '03.30.00', '03.31.00', '03.32.00', '03.33.00', '03.34.00', '03.35.00', '03.36.00', '03.37.00', '03.38.00', '03.39.00', '03.40.00', '03.41.00']","[37, 30, 24, 29, 33, 34, 32, 25, 30, 36, 31, 32, 32, 29]",14
2024-01-03,Wednesday,weekend,04,"['04.52.00', '04.53.00', '04.54.00', '04.55.00', '04.56.00']","[33, 36, 26, 24, 26]",5
2024-01-03,Wednesday,weekend,05,"['05.01.00', '05.02.00']","[31, 21]",2
2024-01-03,Wednesday,weekend,05,"['05.05.00', '05.06.00']","[25, 17]",2
