minutes,taxi_count,sum
"['00.17.00', '00.18.00']","[17, 19]",2
"['00.22.00', '00.23.00', '00.24.00']","[18, 19, 38]",3
"['00.31.00', '00.32.00', '00.33.00', '00.34.00', '00.35.00']","[24, 25, 23, 28, 22]",5
"['00.42.00', '00.43.00', '00.44.00']","[30, 28, 30]",3
"['01.03.00', '01.04.00']","[32, 24]",2
"['01.06.00', '01.07.00']","[31, 19]",2
"['01.09.00', '01.10.00', '01.11.00', '01.12.00', '01.13.00']","[26, 24, 30, 30, 20]",5
"['01.30.00', '01.31.00', '01.32.00']","[36, 22, 34]",3
"['01.35.00', '01.36.00']","[24, 23]",2
"['01.38.00', '01.39.00']","[21, 17]",2
"['02.45.00', '02.46.00']","[28, 24]",2
"['03.03.00', '03.04.00']","[26, 17]",2
"['03.09.00', '03.10.00', '03.11.00']","[25, 41, 34]",3
"['03.16.00', '03.17.00', '03.18.00', '03.19.00', '03.20.00']","[17, 17, 27, 34, 23]",5
"['03.25.00', '03.26.00', '03.27.00']","[43, 41, 43]",3
"['03.29.00', '03.30.00']","[19, 22]",2
"['04.15.00', '04.16.00']","[21, 21]",2
"['04.24.00', '04.25.00', '04.26.00']","[18, 21, 18]",3
"['04.31.00', '04.32.00']","[25, 18]",2
"['04.57.00', '04.58.00']","[28, 38]",2
"['05.06.00', '05.07.00', '05.08.00', '05.09.00', '05.10.00', '05.11.00']","[28, 23, 26, 27, 35, 40]",6
"['05.26.00', '05.27.00']","[19, 19]",2
"['07.27.00', '07.28.00']","[17, 18]",2
"['07.49.00', '07.50.00']","[24, 18]",2
"['11.49.00', '11.50.00', '11.51.00', '11.52.00', '11.53.00', '11.54.00']","[29, 31, 24, 32, 22, 22]",6
"['11.56.00', '11.57.00', '11.58.00']","[17, 21, 18]",3
"['12.00.00', '12.01.00']","[17, 21]",2
"['12.11.00', '12.12.00']","[29, 28]",2
"['12.15.00', '12.16.00', '12.17.00']","[23, 28, 22]",3
"['12.20.00', '12.21.00']","[30, 29]",2
"['12.25.00', '12.26.00', '12.27.00', '12.28.00', '12.29.00', '12.30.00', '12.31.00']","[24, 16, 35, 38, 26, 34, 26]",7
"['12.40.00', '12.41.00', '12.42.00', '12.43.00', '12.44.00', '12.45.00', '12.46.00']","[20, 27, 26, 28, 22, 23, 26]",7
"['12.52.00', '12.53.00']","[25, 23]",2
"['13.01.00', '13.02.00', '13.03.00']","[28, 31, 19]",3
"['13.05.00', '13.06.00']","[23, 14]",2
"['13.08.00', '13.09.00', '13.10.00', '13.11.00']","[21, 21, 23, 36]",4
"['13.13.00', '13.14.00']","[25, 30]",2
"['13.21.00', '13.22.00']","[27, 23]",2
"['13.24.00', '13.25.00']","[34, 23]",2
"['13.30.00', '13.31.00', '13.32.00', '13.33.00', '13.34.00', '13.35.00', '13.36.00']","[35, 26, 28, 31, 39, 36, 33]",7
"['13.42.00', '13.43.00', '13.44.00', '13.45.00']","[39, 20, 37, 28]",4
"['13.47.00', '13.48.00']","[31, 24]",2
"['17.06.00', '17.07.00']","[16, 30]",2
"['17.11.00', '17.12.00']","[14, 22]",2
