minutes,taxi_count,sum
"['02.23.00', '02.24.00', '02.25.00', '02.26.00', '02.27.00']","[27, 19, 27, 26, 19]",5
"['02.31.00', '02.32.00', '02.33.00', '02.34.00', '02.35.00']","[17, 22, 21, 23, 21]",5
"['03.03.00', '03.04.00']","[19, 17]",2
"['03.15.00', '03.16.00']","[19, 19]",2
"['04.13.00', '04.14.00']","[25, 15]",2
"['04.17.00', '04.18.00', '04.19.00', '04.20.00']","[17, 26, 19, 22]",4
"['04.22.00', '04.23.00']","[23, 16]",2
"['04.25.00', '04.26.00', '04.27.00']","[19, 28, 21]",3
"['04.30.00', '04.31.00']","[19, 18]",2
"['05.05.00', '05.06.00', '05.07.00']","[26, 24, 25]",3
"['05.10.00', '05.11.00']","[24, 24]",2
"['05.13.00', '05.14.00']","[25, 22]",2
"['05.16.00', '05.17.00', '05.18.00']","[21, 25, 27]",3
"['05.20.00', '05.21.00', '05.22.00', '05.23.00', '05.24.00']","[22, 25, 25, 24, 24]",5
"['05.41.00', '05.42.00', '05.43.00']","[22, 23, 18]",3
"['05.59.00', '06.00.00']","[31, 28]",2
"['06.03.00', '06.04.00']","[22, 15]",2
"['06.20.00', '06.21.00']","[17, 23]",2
"['06.32.00', '06.33.00', '06.34.00', '06.35.00', '06.36.00', '06.37.00', '06.38.00']","[33, 15, 15, 32, 20, 26, 18]",7
"['06.56.00', '06.57.00']","[21, 20]",2
"['07.58.00', '07.59.00']","[16, 15]",2
"['09.06.00', '09.07.00', '09.08.00', '09.09.00']","[22, 21, 19, 18]",4
"['09.11.00', '09.12.00', '09.13.00', '09.14.00', '09.15.00', '09.16.00', '09.17.00']","[27, 22, 23, 22, 24, 31, 21]",7
"['09.21.00', '09.22.00']","[21, 23]",2
"['09.31.00', '09.32.00']","[25, 26]",2
"['09.39.00', '09.40.00']","[26, 24]",2
"['09.42.00', '09.43.00']","[18, 20]",2
"['09.50.00', '09.51.00']","[19, 17]",2
"['10.55.00', '10.56.00']","[17, 17]",2
"['12.45.00', '12.46.00', '12.47.00', '12.48.00']","[19, 18, 16, 20]",4
"['13.27.00', '13.28.00']","[21, 22]",2
"['13.32.00', '13.33.00']","[25, 15]",2
"['17.00.00', '17.01.00']","[16, 16]",2
"['17.31.00', '17.32.00']","[24, 24]",2
"['17.49.00', '17.50.00']","[27, 17]",2
"['18.19.00', '18.20.00', '18.21.00']","[19, 15, 31]",3
"['18.48.00', '18.49.00']","[20, 21]",2
"['20.15.00', '20.16.00']","[16, 18]",2
"['22.43.00', '22.44.00']","[23, 14]",2
"['22.54.00', '22.55.00', '22.56.00']","[22, 20, 18]",3
