minutes,taxi_count,sum
"['00.06.00', '00.07.00']","[32, 24]",2
"['00.13.00', '00.14.00', '00.15.00']","[24, 25, 28]",3
"['00.17.00', '00.18.00']","[21, 22]",2
"['00.28.00', '00.29.00']","[31, 17]",2
"['00.41.00', '00.42.00']","[26, 25]",2
"['00.58.00', '00.59.00']","[32, 31]",2
"['01.01.00', '01.02.00', '01.03.00', '01.04.00', '01.05.00']","[34, 33, 22, 18, 20]",5
"['02.26.00', '02.27.00', '02.28.00', '02.29.00']","[30, 26, 30, 27]",4
"['02.31.00', '02.32.00', '02.33.00']","[27, 28, 32]",3
"['02.38.00', '02.39.00']","[25, 28]",2
"['02.44.00', '02.45.00']","[31, 25]",2
"['02.47.00', '02.48.00']","[24, 23]",2
"['02.53.00', '02.54.00']","[28, 26]",2
"['03.05.00', '03.06.00', '03.07.00', '03.08.00', '03.09.00', '03.10.00', '03.11.00', '03.12.00']","[29, 25, 28, 29, 30, 24, 28, 28]",8
"['03.14.00', '03.15.00', '03.16.00']","[35, 30, 34]",3
"['03.18.00', '03.19.00', '03.20.00']","[24, 27, 28]",3
"['03.23.00', '03.24.00']","[20, 18]",2
"['03.28.00', '03.29.00']","[20, 18]",2
"['04.49.00', '04.50.00']","[31, 27]",2
"['04.52.00', '04.53.00']","[36, 32]",2
"['04.55.00', '04.56.00']","[36, 21]",2
"['05.00.00', '05.01.00']","[35, 26]",2
"['05.03.00', '05.04.00', '05.05.00', '05.06.00']","[30, 25, 32, 28]",4
"['05.08.00', '05.09.00', '05.10.00', '05.11.00']","[35, 34, 28, 30]",4
"['05.16.00', '05.17.00']","[28, 23]",2
"['05.21.00', '05.22.00']","[28, 29]",2
"['05.24.00', '05.25.00']","[27, 27]",2
"['05.30.00', '05.31.00']","[30, 25]",2
"['05.35.00', '05.36.00', '05.37.00', '05.38.00']","[30, 27, 31, 35]",4
"['05.40.00', '05.41.00', '05.42.00', '05.43.00', '05.44.00', '05.45.00']","[32, 25, 28, 29, 23, 25]",6
"['06.37.00', '06.38.00', '06.39.00', '06.40.00', '06.41.00', '06.42.00', '06.43.00']","[26, 27, 26, 27, 24, 26, 25]",7
"['06.46.00', '06.47.00']","[23, 24]",2
"['06.49.00', '06.50.00']","[25, 24]",2
"['06.52.00', '06.53.00']","[23, 25]",2
"['07.26.00', '07.27.00']","[27, 30]",2
"['07.35.00', '07.36.00']","[36, 30]",2
"['07.44.00', '07.45.00']","[24, 29]",2
"['07.50.00', '07.51.00', '07.52.00']","[27, 25, 24]",3
"['07.54.00', '07.55.00', '07.56.00', '07.57.00', '07.58.00', '07.59.00']","[20, 25, 37, 28, 30, 29]",6
"['08.07.00', '08.08.00']","[36, 37]",2
"['08.10.00', '08.11.00']","[23, 23]",2
"['08.15.00', '08.16.00', '08.17.00', '08.18.00', '08.19.00', '08.20.00', '08.21.00', '08.22.00', '08.23.00']","[22, 35, 28, 38, 25, 35, 36, 22, 19]",9
"['08.28.00', '08.29.00', '08.30.00', '08.31.00']","[29, 19, 24, 28]",4
"['08.35.00', '08.36.00', '08.37.00', '08.38.00']","[22, 30, 22, 26]",4
"['09.05.00', '09.06.00']","[20, 25]",2
"['10.43.00', '10.44.00', '10.45.00', '10.46.00']","[24, 23, 25, 26]",4
"['10.51.00', '10.52.00', '10.53.00', '10.54.00', '10.55.00', '10.56.00']","[26, 28, 34, 30, 22, 25]",6
"['10.58.00', '10.59.00']","[29, 32]",2
"['11.01.00', '11.02.00']","[23, 26]",2
"['11.07.00', '11.08.00']","[27, 26]",2
"['11.11.00', '11.12.00']","[28, 30]",2
