minutes,taxi_count,sum
"['00.04.00', '00.05.00']","[24, 24]",2
"['00.19.00', '00.20.00', '00.21.00', '00.22.00']","[32, 28, 31, 27]",4
"['00.26.00', '00.27.00', '00.28.00', '00.29.00', '00.30.00']","[21, 26, 31, 38, 33]",5
"['00.32.00', '00.33.00']","[22, 31]",2
"['00.38.00', '00.39.00', '00.40.00', '00.41.00', '00.42.00']","[27, 30, 26, 31, 23]",5
"['00.44.00', '00.45.00', '00.46.00', '00.47.00']","[35, 27, 27, 18]",4
"['00.50.00', '00.51.00', '00.52.00']","[24, 24, 22]",3
"['00.54.00', '00.55.00', '00.56.00', '00.57.00']","[31, 33, 27, 30]",4
"['00.59.00', '01.00.00']","[19, 31]",2
"['01.49.00', '01.50.00']","[22, 23]",2
"['02.04.00', '02.05.00', '02.06.00', '02.07.00']","[24, 26, 22, 23]",4
"['02.18.00', '02.19.00']","[30, 25]",2
"['02.21.00', '02.22.00']","[28, 27]",2
"['02.24.00', '02.25.00', '02.26.00']","[29, 30, 28]",3
"['02.28.00', '02.29.00']","[23, 27]",2
"['02.39.00', '02.40.00']","[25, 26]",2
"['02.49.00', '02.50.00', '02.51.00', '02.52.00', '02.53.00']","[30, 24, 28, 32, 27]",5
"['02.57.00', '02.58.00', '02.59.00', '03.00.00', '03.01.00']","[29, 28, 23, 29, 27]",5
"['03.04.00', '03.05.00']","[26, 22]",2
"['03.07.00', '03.08.00']","[26, 29]",2
"['03.22.00', '03.23.00', '03.24.00', '03.25.00']","[27, 24, 26, 14]",4
"['03.30.00', '03.31.00', '03.32.00', '03.33.00', '03.34.00']","[29, 32, 31, 32, 30]",5
"['03.36.00', '03.37.00', '03.38.00']","[29, 32, 33]",3
"['03.45.00', '03.46.00']","[29, 22]",2
"['03.50.00', '03.51.00']","[26, 25]",2
"['03.56.00', '03.57.00']","[23, 23]",2
"['03.59.00', '04.00.00', '04.01.00', '04.02.00', '04.03.00', '04.04.00']","[35, 25, 25, 23, 24, 25]",6
"['04.08.00', '04.09.00', '04.10.00', '04.11.00', '04.12.00']","[25, 25, 30, 29, 29]",5
"['04.35.00', '04.36.00', '04.37.00', '04.38.00', '04.39.00']","[23, 32, 22, 17, 23]",5
"['04.43.00', '04.44.00']","[24, 27]",2
"['04.46.00', '04.47.00', '04.48.00']","[28, 27, 27]",3
"['05.10.00', '05.11.00']","[21, 26]",2
"['05.48.00', '05.49.00', '05.50.00']","[28, 24, 24]",3
"['06.09.00', '06.10.00']","[23, 16]",2
"['06.15.00', '06.16.00', '06.17.00', '06.18.00', '06.19.00']","[27, 25, 28, 28, 28]",5
"['06.26.00', '06.27.00']","[27, 36]",2
"['06.38.00', '06.39.00', '06.40.00', '06.41.00', '06.42.00', '06.43.00', '06.44.00']","[26, 25, 34, 28, 31, 38, 33]",7
"['06.50.00', '06.51.00', '06.52.00', '06.53.00', '06.54.00']","[25, 25, 26, 28, 26]",5
"['07.09.00', '07.10.00']","[21, 19]",2
"['07.36.00', '07.37.00', '07.38.00']","[14, 17, 31]",3
"['07.45.00', '07.46.00']","[25, 38]",2
"['07.48.00', '07.49.00', '07.50.00', '07.51.00', '07.52.00', '07.53.00']","[24, 25, 24, 30, 36, 27]",6
"['07.55.00', '07.56.00', '07.57.00']","[23, 28, 21]",3
"['08.01.00', '08.02.00']","[26, 32]",2
"['08.07.00', '08.08.00']","[22, 27]",2
"['08.11.00', '08.12.00']","[29, 28]",2
"['08.28.00', '08.29.00', '08.30.00']","[20, 18, 24]",3
"['08.41.00', '08.42.00', '08.43.00', '08.44.00']","[31, 33, 27, 30]",4
"['08.49.00', '08.50.00']","[25, 30]",2
"['08.59.00', '09.00.00', '09.01.00']","[27, 28, 21]",3
"['09.04.00', '09.05.00', '09.06.00', '09.07.00']","[21, 24, 27, 43]",4
"['09.09.00', '09.10.00', '09.11.00', '09.12.00', '09.13.00', '09.14.00', '09.15.00', '09.16.00', '09.17.00']","[17, 28, 27, 40, 24, 27, 43, 24, 20]",9
"['09.23.00', '09.24.00', '09.25.00', '09.26.00']","[23, 28, 26, 27]",4
"['09.28.00', '09.29.00', '09.30.00', '09.31.00', '09.32.00', '09.33.00', '09.34.00']","[38, 33, 36, 20, 23, 32, 29]",7
"['09.38.00', '09.39.00']","[26, 24]",2
"['09.45.00', '09.46.00', '09.47.00']","[25, 21, 25]",3
"['10.04.00', '10.05.00']","[28, 21]",2
"['10.07.00', '10.08.00', '10.09.00', '10.10.00', '10.11.00', '10.12.00', '10.13.00', '10.14.00', '10.15.00', '10.16.00']","[15, 23, 25, 23, 30, 24, 21, 23, 21, 23]",10
"['10.18.00', '10.19.00']","[24, 34]",2
"['10.23.00', '10.24.00', '10.25.00', '10.26.00', '10.27.00', '10.28.00', '10.29.00', '10.30.00', '10.31.00']","[29, 32, 29, 39, 34, 37, 34, 34, 33]",9
"['10.33.00', '10.34.00', '10.35.00', '10.36.00', '10.37.00', '10.38.00']","[44, 32, 31, 33, 29, 37]",6
"['10.40.00', '10.41.00', '10.42.00', '10.43.00', '10.44.00', '10.45.00', '10.46.00', '10.47.00', '10.48.00', '10.49.00', '10.50.00', '10.51.00', '10.52.00', '10.53.00', '10.54.00', '10.55.00', '10.56.00', '10.57.00', '10.58.00']","[32, 37, 27, 39, 52, 54, 45, 34, 35, 44, 38, 47, 30, 43, 49, 29, 42, 33, 45]",19
"['11.00.00', '11.01.00', '11.02.00', '11.03.00', '11.04.00', '11.05.00', '11.06.00', '11.07.00', '11.08.00', '11.09.00', '11.10.00']","[46, 29, 44, 43, 45, 36, 31, 33, 31, 45, 44]",11
"['11.16.00', '11.17.00', '11.18.00']","[35, 29, 36]",3
"['11.22.00', '11.23.00', '11.24.00']","[29, 34, 29]",3
"['11.27.00', '11.28.00', '11.29.00']","[37, 32, 26]",3
"['11.31.00', '11.32.00', '11.33.00', '11.34.00', '11.35.00', '11.36.00', '11.37.00']","[29, 31, 31, 26, 24, 25, 33]",7
"['11.49.00', '11.50.00', '11.51.00', '11.52.00', '11.53.00', '11.54.00']","[25, 24, 34, 30, 25, 25]",6
"['12.08.00', '12.09.00']","[18, 18]",2
"['12.11.00', '12.12.00']","[23, 20]",2
"['12.15.00', '12.16.00', '12.17.00']","[23, 25, 30]",3
"['12.20.00', '12.21.00']","[20, 24]",2
