date,time,taxi_count,queue_length,day_type
2023-12-16,01%3A36%3A00,9,47.29857868663852,weekend
2023-12-16,01%3A37%3A00,14,101.31922541380918,weekend
2023-12-16,01%3A38%3A00,15,78.38230440928581,weekend
2023-12-16,01%3A39%3A00,7,32.999417651870324,weekend
2023-12-16,01%3A40%3A00,9,47.56306595017209,weekend
2023-12-16,01%3A41%3A00,0,[],weekend
2023-12-16,01%3A42%3A00,0,[],weekend
2023-12-16,01%3A43%3A00,0,[],weekend
2023-12-16,01%3A44%3A00,7,40.28308669257414,weekend
2023-12-16,01%3A45%3A00,0,[],weekend
2023-12-16,01%3A46%3A00,0,[],weekend
2023-12-16,01%3A47%3A00,0,[],weekend
2023-12-16,01%3A48%3A00,0,[],weekend
2023-12-16,01%3A49%3A00,0,[],weekend
2023-12-16,01%3A50%3A00,0,[],weekend
2023-12-16,01%3A51%3A00,0,[],weekend
2023-12-16,01%3A52%3A00,0,[],weekend
2023-12-16,01%3A53%3A00,0,[],weekend
2023-12-16,01%3A54%3A00,0,[],weekend
2023-12-16,01%3A55%3A00,0,[],weekend
2023-12-16,01%3A56%3A00,0,[],weekend
2023-12-16,01%3A57%3A00,0,[],weekend
2023-12-16,01%3A58%3A00,0,[],weekend
2023-12-16,02%3A00%3A00,0,[],weekend
2023-12-16,02%3A01%3A00,0,[],weekend
2023-12-16,02%3A02%3A00,0,[],weekend
2023-12-16,02%3A03%3A00,0,[],weekend
2023-12-16,02%3A04%3A00,0,[],weekend
2023-12-16,02%3A05%3A00,0,[],weekend
2023-12-16,02%3A06%3A00,0,[],weekend
2023-12-16,02%3A07%3A00,8,40.198409051028605,weekend
2023-12-16,02%3A08%3A00,7,0,weekend
2023-12-16,02%3A09%3A00,0,[],weekend
2023-12-16,02%3A10%3A00,0,[],weekend
2023-12-16,02%3A11%3A00,8,35.45390344541201,weekend
2023-12-16,02%3A12%3A00,7,0,weekend
2023-12-16,02%3A13%3A00,7,27.46462249512376,weekend
2023-12-16,02%3A14%3A00,9,37.564275959404995,weekend
2023-12-16,02%3A15%3A00,8,37.564275959404995,weekend
2023-12-16,02%3A16%3A00,0,[],weekend
2023-12-16,02%3A17%3A00,0,[],weekend
2023-12-16,02%3A18%3A00,11,61.317142248882476,weekend
2023-12-16,02%3A19%3A00,12,56.19453522788147,weekend
2023-12-16,02%3A20%3A00,16,0,weekend
2023-12-16,02%3A21%3A00,14,0,weekend
2023-12-16,02%3A22%3A00,14,67.54069557285656,weekend
2023-12-16,02%3A23%3A00,13,48.71657328136886,weekend
2023-12-16,02%3A24%3A00,21,76.46269380467322,weekend
2023-12-16,02%3A25%3A00,20,81.71758814873026,weekend
2023-12-16,02%3A26%3A00,30,135.5912288125184,weekend
2023-12-16,02%3A27%3A00,26,129.6064900162649,weekend
2023-12-16,02%3A28%3A00,30,121.8818812273111,weekend
2023-12-16,02%3A29%3A00,27,130.56134538370054,weekend
2023-12-16,02%3A30%3A00,29,99.74230405855282,weekend
2023-12-16,02%3A31%3A00,27,108.01143044687782,weekend
2023-12-16,02%3A32%3A00,28,102.52467394057233,weekend
2023-12-16,02%3A33%3A00,32,137.4984368370056,weekend
