minutes,taxi_count,sum
"['00.02.00', '00.03.00', '00.04.00']","[29, 35, 24]",3
"['00.32.00', '00.33.00', '00.34.00', '00.35.00']","[28, 25, 18, 26]",4
"['00.37.00', '00.38.00']","[22, 20]",2
"['00.40.00', '00.41.00', '00.42.00']","[30, 22, 28]",3
"['00.51.00', '00.52.00', '00.53.00', '00.54.00']","[32, 20, 35, 18]",4
"['00.56.00', '00.57.00', '00.58.00']","[37, 25, 31]",3
"['01.01.00', '01.02.00', '01.03.00', '01.04.00']","[40, 50, 42, 31]",4
"['01.06.00', '01.07.00', '01.08.00']","[28, 35, 29]",3
"['01.10.00', '01.11.00', '01.12.00', '01.13.00', '01.14.00', '01.15.00', '01.16.00', '01.17.00']","[25, 28, 32, 45, 23, 22, 36, 30]",8
"['01.19.00', '01.20.00', '01.21.00']","[26, 27, 30]",3
"['01.23.00', '01.24.00', '01.25.00']","[28, 27, 29]",3
"['01.27.00', '01.28.00']","[30, 32]",2
"['01.31.00', '01.32.00', '01.33.00', '01.34.00', '01.35.00']","[29, 25, 39, 33, 29]",5
"['01.37.00', '01.38.00']","[30, 33]",2
"['01.40.00', '01.41.00']","[24, 24]",2
"['01.48.00', '01.49.00', '01.50.00']","[30, 27, 23]",3
"['01.57.00', '01.58.00']","[26, 32]",2
"['02.01.00', '02.02.00', '02.03.00', '02.04.00', '02.05.00', '02.06.00']","[23, 28, 30, 28, 26, 21]",6
"['02.09.00', '02.10.00', '02.11.00']","[23, 17, 18]",3
"['02.14.00', '02.15.00']","[23, 19]",2
"['02.43.00', '02.44.00', '02.45.00', '02.46.00']","[33, 30, 26, 29]",4
"['02.51.00', '02.52.00']","[22, 21]",2
"['02.57.00', '02.58.00', '02.59.00', '03.00.00', '03.01.00', '03.02.00', '03.03.00', '03.04.00']","[25, 26, 30, 27, 38, 37, 37, 27]",8
"['03.09.00', '03.10.00']","[39, 33]",2
"['03.18.00', '03.19.00', '03.20.00', '03.21.00', '03.22.00', '03.23.00', '03.24.00']","[19, 22, 25, 27, 30, 23, 25]",7
"['03.34.00', '03.35.00', '03.36.00']","[18, 31, 22]",3
"['03.45.00', '03.46.00']","[20, 21]",2
"['04.48.00', '04.49.00']","[17, 18]",2
"['05.32.00', '05.33.00']","[22, 18]",2
"['05.37.00', '05.38.00']","[19, 23]",2
"['06.35.00', '06.36.00']","[26, 27]",2
"['06.41.00', '06.42.00', '06.43.00']","[23, 25, 26]",3
"['06.45.00', '06.46.00', '06.47.00']","[26, 21, 21]",3
"['06.49.00', '06.50.00']","[26, 24]",2
"['07.24.00', '07.25.00', '07.26.00', '07.27.00', '07.28.00']","[22, 31, 27, 32, 31]",5
"['07.32.00', '07.33.00', '07.34.00', '07.35.00', '07.36.00', '07.37.00', '07.38.00', '07.39.00', '07.40.00', '07.41.00']","[32, 24, 25, 26, 33, 40, 29, 25, 27, 39]",10
"['07.45.00', '07.46.00']","[21, 26]",2
"['07.50.00', '07.51.00', '07.52.00', '07.53.00']","[36, 41, 44, 17]",4
"['08.07.00', '08.08.00', '08.09.00', '08.10.00', '08.11.00', '08.12.00', '08.13.00', '08.14.00', '08.15.00']","[25, 28, 37, 30, 33, 27, 27, 29, 26]",9
"['10.12.00', '10.13.00']","[27, 24]",2
"['10.18.00', '10.19.00', '10.20.00']","[29, 30, 16]",3
"['10.22.00', '10.23.00', '10.24.00', '10.25.00', '10.26.00']","[18, 21, 31, 35, 36]",5
"['10.28.00', '10.29.00']","[20, 30]",2
"['10.33.00', '10.34.00']","[23, 28]",2
"['10.36.00', '10.37.00', '10.38.00', '10.39.00', '10.40.00', '10.41.00', '10.42.00']","[33, 39, 45, 37, 30, 30, 18]",7
"['10.44.00', '10.45.00']","[31, 34]",2
"['10.48.00', '10.49.00', '10.50.00', '10.51.00', '10.52.00', '10.53.00', '10.54.00']","[30, 38, 25, 32, 15, 40, 27]",7
"['11.04.00', '11.05.00', '11.06.00', '11.07.00', '11.08.00', '11.09.00']","[35, 18, 18, 22, 22, 28]",6
"['11.12.00', '11.13.00', '11.14.00', '11.15.00', '11.16.00']","[32, 19, 23, 32, 37]",5
"['11.26.00', '11.27.00']","[36, 29]",2
"['11.29.00', '11.30.00']","[25, 27]",2
"['11.32.00', '11.33.00', '11.34.00', '11.35.00', '11.36.00', '11.37.00', '11.38.00']","[25, 26, 28, 31, 29, 21, 30]",7
"['11.40.00', '11.41.00', '11.42.00', '11.43.00']","[29, 27, 29, 19]",4
"['11.45.00', '11.46.00']","[16, 18]",2
"['11.50.00', '11.51.00']","[28, 28]",2
"['12.01.00', '12.02.00', '12.03.00', '12.04.00', '12.05.00', '12.06.00', '12.07.00']","[23, 34, 19, 26, 33, 20, 25]",7
"['12.13.00', '12.14.00']","[25, 24]",2
"['12.43.00', '12.44.00']","[23, 24]",2
"['12.54.00', '12.55.00', '12.56.00']","[24, 21, 25]",3
"['12.58.00', '12.59.00', '13.00.00']","[34, 25, 29]",3
"['13.09.00', '13.10.00', '13.11.00', '13.12.00', '13.13.00', '13.14.00']","[23, 28, 29, 28, 25, 25]",6
"['13.24.00', '13.25.00', '13.26.00', '13.27.00']","[31, 30, 24, 27]",4
"['13.29.00', '13.30.00']","[29, 21]",2
"['13.32.00', '13.33.00', '13.34.00']","[33, 31, 26]",3
"['14.01.00', '14.02.00', '14.03.00']","[27, 32, 32]",3
"['14.12.00', '14.13.00']","[23, 23]",2
"['14.47.00', '14.48.00']","[26, 29]",2
"['15.22.00', '15.23.00']","[28, 25]",2
"['15.36.00', '15.37.00']","[30, 22]",2
"['17.04.00', '17.05.00', '17.06.00']","[21, 16, 19]",3
"['17.39.00', '17.40.00']","[21, 26]",2
"['17.46.00', '17.47.00']","[24, 27]",2
"['18.19.00', '18.20.00', '18.21.00']","[19, 18, 24]",3
"['18.52.00', '18.53.00']","[15, 23]",2
"['20.46.00', '20.47.00']","[31, 23]",2
"['20.56.00', '20.57.00']","[16, 23]",2
"['21.01.00', '21.02.00', '21.03.00', '21.04.00']","[28, 23, 33, 23]",4
"['21.37.00', '21.38.00']","[15, 18]",2
"['21.44.00', '21.45.00', '21.46.00']","[15, 31, 35]",3
"['21.48.00', '21.49.00', '21.50.00', '21.51.00', '21.52.00']","[28, 23, 18, 18, 26]",5
"['22.05.00', '22.06.00', '22.07.00', '22.08.00']","[28, 28, 24, 14]",4
"['22.13.00', '22.14.00']","[22, 23]",2
"['23.09.00', '23.10.00', '23.11.00']","[28, 19, 23]",3
"['23.13.00', '23.14.00', '23.15.00', '23.16.00']","[26, 27, 38, 31]",4
"['23.29.00', '23.30.00']","[25, 28]",2
