date,day_of_week,day_type,hour,queue_start,minutes,taxi_count,taxi_count_start,taxi_count_avg,sum
2024-01-10,Wednesday,weekday,15,366.05281333848336,"['15.24.00', '15.25.00']","[17, 16]",17,16.5,2
2024-01-10,Wednesday,weekday,15,208.54274188557915,"['15.31.00', '15.32.00']","[28, 20]",28,24.0,2
2024-01-10,Wednesday,weekday,15,492.3306030973797,"['15.36.00', '15.37.00', '15.38.00']","[32, 27, 29]",32,29.33,3
2024-01-10,Wednesday,weekday,15,480.4429544825986,"['15.46.00', '15.47.00']","[32, 15]",32,23.5,2
2024-01-10,Wednesday,weekday,15,162.5161602543759,"['15.51.00', '15.52.00']","[31, 36]",31,33.5,2
2024-01-10,Wednesday,weekday,15,270.910794536848,"['15.54.00', '15.55.00']","[39, 28]",39,33.5,2
2024-01-10,Wednesday,weekday,15,115.43265317418916,"['15.57.00', '15.58.00']","[28, 28]",28,28.0,2
2024-01-10,Wednesday,weekday,16,113.62002206270226,"['16.22.00', '16.23.00']","[20, 18]",20,19.0,2
2024-01-10,Wednesday,weekday,16,101.30067386758932,"['16.37.00', '16.38.00']","[19, 17]",19,18.0,2
2024-01-10,Wednesday,weekday,17,113.57520731600908,"['17.16.00', '17.17.00']","[23, 21]",23,22.0,2
2024-01-10,Wednesday,weekday,17,382.732478566903,"['17.19.00', '17.20.00']","[16, 22]",16,19.0,2
2024-01-10,Wednesday,weekday,17,432.3602567417022,"['17.46.00', '17.47.00']","[22, 16]",22,19.0,2
2024-01-10,Wednesday,weekday,17,160.25756865225242,"['17.49.00', '17.50.00']","[20, 44]",20,32.0,2
2024-01-10,Wednesday,weekday,18,109.73676411437184,"['18.24.00', '18.25.00']","[18, 18]",18,18.0,2
2024-01-10,Wednesday,weekday,19,115.81839988607138,"['19.38.00', '19.39.00', '19.40.00', '19.41.00', '19.42.00']","[26, 24, 25, 24, 24]",26,24.6,5
2024-01-10,Wednesday,weekday,19,117.35374597337496,"['19.48.00', '19.49.00', '19.50.00', '19.51.00']","[23, 20, 25, 22]",23,22.5,4
2024-01-10,Wednesday,weekday,20,340.5544406283253,"['20.55.00', '20.56.00', '20.57.00', '20.58.00']","[29, 22, 16, 16]",29,20.75,4
2024-01-10,Wednesday,weekday,21,525.2539268985186,"['21.02.00', '21.03.00']","[23, 23]",23,23.0,2
2024-01-10,Wednesday,weekday,21,621.3594486532194,"['21.06.00', '21.07.00', '21.08.00', '21.09.00', '21.10.00', '21.11.00']","[21, 21, 19, 38, 34, 15]",21,24.67,6
2024-01-10,Wednesday,weekday,21,126.61021002405326,"['21.14.00', '21.15.00']","[27, 27]",27,27.0,2
2024-01-10,Wednesday,weekday,23,108.66245400804948,"['23.03.00', '23.04.00', '23.05.00']","[23, 23, 19]",23,21.67,3
2024-01-10,Wednesday,weekday,23,193.81591108833183,"['23.36.00', '23.37.00']","[35, 26]",35,30.5,2
2024-01-10,Wednesday,weekday,23,360.6295800979569,"['23.40.00', '23.41.00']","[25, 19]",25,22.0,2
2024-01-10,Wednesday,weekday,23,467.2661172748649,"['23.49.00', '23.50.00']","[24, 20]",24,22.0,2
2024-01-10,Wednesday,weekday,23,415.7410018342462,"['23.55.00', '23.56.00', '23.57.00']","[27, 42, 27]",27,32.0,3
