id,time,taxi_count,queue_length,min_coordinate,max_coordinate,day_type
1,00.00.00,31,614.0151436777904,"1.35585, 103.98819","1.36135, 103.98895",weekday
2,00.01.00,32,516.6554230991965,"1.35660466666667, 103.988538166667","1.36125816666667, 103.988955833333",weekday
3,00.02.00,34,645.5035529094022,"1.35545, 103.98801","1.36124, 103.98875",weekday
4,00.03.00,23,111.49306728360926,"1.36045, 103.9885","1.36137, 103.98891",weekday
5,00.04.00,25,107.27917971528565,"1.36046, 103.98855","1.36136, 103.98891",weekday
6,00.05.00,23,115.9527608528406,"1.36038, 103.98839","1.3613, 103.98889",weekday
7,00.06.00,26,538.8037705429035,"1.35643, 103.98837","1.36129, 103.98872",weekday
8,00.07.00,19,91.8666522685197,"1.36052, 103.98841","1.36129, 103.98872",weekday
9,00.08.00,24,81.64158123245478,"1.36071, 103.98864","1.36139256666667, 103.9889197",weekday
10,00.09.00,0,0,0,0,weekday
11,00.10.00,0,0,0,0,weekday
12,00.11.00,22,75.24114686642413,"1.36073, 103.9887","1.36138, 103.9889",weekday
13,00.12.00,19,105.04090268953043,"1.36047, 103.98859","1.36136, 103.98892",weekday
14,00.13.00,24,110.27964589912274,"1.36047, 103.98859","1.36140936666667, 103.9889229",weekday
15,00.14.00,24,117.56404063237966,"1.36045, 103.98857","1.36146, 103.9889",weekday
16,00.15.00,20,27.733185866776452,"1.36109, 103.9888","1.36134, 103.98882",weekday
17,00.16.00,27,256.94140176191553,"1.35902, 103.98895","1.36134, 103.98882",weekday
18,00.17.00,33,144.59796742582776,"1.36017, 103.98832","1.36135, 103.98888",weekday
19,00.18.00,16,30.444235190131266,"1.36116, 103.98881","1.36142, 103.9889",weekday
20,00.19.00,12,59.29112132233613,"1.36092, 103.98877","1.36144, 103.9889",weekday
21,00.20.00,12,39.82895694705262,"1.36103, 103.9888","1.36136533333333, 103.988930666667",weekday
22,00.21.00,13,42.77512677554398,"1.3608845, 103.988768","1.36127, 103.9888",weekday
23,00.22.00,12,47.275298381214355,"1.36087, 103.98876","1.36127, 103.98891",weekday
24,00.23.00,20,104.19553145345392,"1.36041, 103.98857","1.361321, 103.988809333333",weekday
25,00.24.00,22,578.8536443974314,"1.35605, 103.98826","1.36125, 103.98886",weekday
26,00.25.00,28,665.5009596439586,"1.3553, 103.98796","1.36125, 103.98886",weekday
27,00.26.00,25,541.0340698161081,"1.35587, 103.98821","1.36074, 103.98868",weekday
28,00.27.00,18,620.6706550655807,"1.35587, 103.98821","1.36144, 103.9889",weekday
29,00.28.00,13,55.33223550330308,"1.36079, 103.98888","1.36129, 103.98886",weekday
30,00.29.00,33,640.0203762325484,"1.3557, 103.98816","1.36144, 103.9889",weekday
31,00.30.00,40,616.008509801639,"1.35591, 103.98823","1.36144, 103.9889",weekday
32,00.31.00,28,733.2631948157131,"1.3549, 103.98781","1.36144, 103.9889",weekday
33,00.32.00,20,568.1079338180657,"1.35633, 103.98837","1.36144, 103.9889",weekday
34,00.33.00,16,556.6576880966744,"1.35633, 103.98837","1.36134, 103.98886",weekday
35,00.34.00,7,53.392528325328115,"1.35508, 103.98777","1.35555, 103.98788",weekday
36,00.35.00,7,24.73042033448079,"1.36113, 103.98884","1.36135, 103.98888",weekday
37,00.36.00,10,23.459515197103965,"1.36114, 103.98891","1.36135, 103.98888",weekday
38,00.37.00,19,113.38996916787552,"1.36037, 103.98858","1.36135, 103.98888",weekday
39,00.38.00,21,701.1004843367599,"1.355087, 103.987898","1.36135, 103.98888",weekday
40,00.39.00,20,40.66081555921124,"1.36107, 103.9889","1.36139, 103.98872",weekday
41,00.40.00,26,515.8393519924323,"1.3567875, 103.98858","1.36144, 103.98892",weekday
42,00.41.00,0,0,0,0,weekday
43,00.42.00,0,0,0,0,weekday
44,00.43.00,0,0,0,0,weekday
45,00.44.00,7,19.33114626124314,"1.36116, 103.98886","1.36132, 103.98893",weekday
46,00.45.00,25,391.05691512997464,"1.35781, 103.9885","1.36132, 103.98893",weekday
47,00.46.00,18,93.42392927617321,"1.36042, 103.98859","1.36122, 103.98886",weekday
48,00.47.00,9,33.08941163740516,"1.36104785, 103.988830933333","1.36133, 103.98893",weekday
